iter	Logloss
0	0.6266728038
1	0.5702739703
2	0.5145928729
3	0.4723710337
4	0.4389017597
5	0.4099064437
6	0.3816766619
7	0.3602354083
8	0.3307583336
9	0.3104775884
10	0.2862440496
11	0.2697269269
12	0.2612179685
13	0.2462794646
14	0.2338179606
15	0.2190457776
16	0.2105817946
17	0.1956712905
18	0.1839251385
19	0.1710800472
20	0.1621911828
21	0.1524383075
22	0.1468344063
23	0.1402123804
24	0.1328149211
25	0.1242035094
26	0.1191556582
27	0.1128329719
28	0.1081836521
29	0.1032503563
30	0.09718743215
31	0.09109482958
32	0.0873718432
33	0.08408553522
34	0.08059488322
35	0.07726431516
36	0.07429538556
37	0.07085905968
38	0.0686597127
39	0.06705464373
40	0.06365111474
41	0.0607302313
42	0.05960475612
43	0.0582307007
44	0.05585351234
45	0.05473334437
46	0.05283204953
47	0.05119283422
48	0.04894770128
49	0.04629341302
50	0.04510149051
51	0.04342391838
52	0.04204410275
53	0.04086407258
54	0.03904338239
55	0.03745447583
56	0.03679456349
57	0.03558423505
58	0.03403528749
59	0.03272222915
60	0.03133866558
61	0.03057156252
62	0.02914126648
63	0.02850247566
64	0.02780584444
65	0.02715140382
66	0.02616846019
67	0.02512824358
68	0.02441469893
69	0.02388356137
70	0.02330671416
71	0.02234997037
72	0.02199177468
73	0.0213465108
74	0.02091494887
75	0.02047845882
76	0.02004711862
77	0.01930830157
78	0.01883536801
79	0.01855012014
80	0.01828511999
81	0.01787393453
82	0.01711734693
83	0.01656433087
84	0.0161113923
85	0.01556600564
86	0.0151950009
87	0.01490209025
88	0.01453098896
89	0.01404457877
90	0.01383996177
91	0.0135749199
92	0.01331457368
93	0.012862497
94	0.01265181462
95	0.01243514436
96	0.0120602665
97	0.011916823
98	0.0116349273
99	0.01150648869
