iter	Passed	Remaining
0	1	181
1	3	162
2	4	153
3	6	161
4	8	155
5	9	150
6	10	145
7	12	142
8	13	139
9	15	136
10	16	134
11	17	131
12	19	129
13	20	126
14	21	124
15	23	122
16	24	120
17	26	118
18	27	117
19	29	116
20	30	115
21	31	113
22	33	111
23	34	109
24	36	108
25	37	106
26	38	104
27	40	103
28	41	102
29	43	101
30	44	99
31	46	97
32	47	96
33	49	95
34	50	93
35	51	92
36	53	91
37	54	89
38	56	87
39	57	86
40	59	85
41	60	84
42	62	82
43	63	81
44	65	79
45	66	78
46	67	76
47	69	75
48	70	73
49	71	71
50	73	70
51	74	68
52	76	67
53	77	66
54	79	64
55	80	63
56	81	61
57	83	60
58	84	58
59	85	57
60	87	55
61	88	54
62	90	53
63	92	51
64	93	50
65	95	49
66	96	47
67	98	46
68	99	44
69	101	43
70	102	41
71	104	40
72	105	39
73	107	37
74	108	36
75	110	34
76	111	33
77	112	31
78	114	30
79	115	28
80	116	27
81	118	25
82	119	24
83	121	23
84	122	21
85	124	20
86	125	18
87	127	17
88	128	15
89	129	14
90	131	12
91	132	11
92	134	10
93	135	8
94	136	7
95	138	5
96	140	4
97	141	2
98	143	1
99	144	0
